# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1623532	1624350	+	WP_011916998.1	WP_011916998.1		prephenate dehydratase	pheA		CSAC_RS07420	819	272	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1624375	1625280	+							CSAC_RS07425	906		old_locus_tag=Csac_1463
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1624375	1625280	+	WP_011916999.1	WP_011916999.1		DUF2232 domain-containing protein			CSAC_RS07425	906	301	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1625277	1627280	+							CSAC_RS07430	2004		old_locus_tag=Csac_1464
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1625277	1627280	+	WP_011917000.1	WP_011917000.1		DHH family phosphoesterase			CSAC_RS07430	2004	667	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1627308	1627754	+					rplI		CSAC_RS07435	447		old_locus_tag=Csac_1465
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1627308	1627754	+	WP_011917001.1	WP_011917001.1		50S ribosomal protein L9	rplI		CSAC_RS07435	447	148	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1627773	1629119	+					dnaB		CSAC_RS07440	1347		old_locus_tag=Csac_1466
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1627773	1629119	+	WP_011917002.1	WP_011917002.1		replicative DNA helicase	dnaB		CSAC_RS07440	1347	448	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1629140	1630390	+							CSAC_RS07445	1251		old_locus_tag=Csac_1467
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1629140	1630390	+	WP_083755744.1	WP_083755744.1		adenosylhomocysteinase			CSAC_RS07445	1251	416	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1630394	1631683	+							CSAC_RS07450	1290		old_locus_tag=Csac_1468
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1630394	1631683	+	WP_011917004.1	WP_011917004.1		amidohydrolase			CSAC_RS07450	1290	429	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1631717	1633273	+					murJ		CSAC_RS07455	1557		old_locus_tag=Csac_1469
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1631717	1633273	+	WP_011917005.1	WP_011917005.1		murein biosynthesis integral membrane protein MurJ	murJ		CSAC_RS07455	1557	518	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1633301	1634491	+					tyrS		CSAC_RS07460	1191		old_locus_tag=Csac_1470
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1633301	1634491	+	WP_011917006.1	WP_011917006.1		tyrosine--tRNA ligase	tyrS		CSAC_RS07460	1191	396	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1634822	1635622	+							CSAC_RS07465	801		old_locus_tag=Csac_1471
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1634822	1635622	+	WP_011917007.1	WP_011917007.1		hypothetical protein			CSAC_RS07465	801	266	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1635666	1636025	+							CSAC_RS07470	360		old_locus_tag=Csac_1472
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1635666	1636025	+	WP_011917008.1	WP_011917008.1		hypothetical protein			CSAC_RS07470	360	119	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1636589	1637248	+							CSAC_RS07475	660		old_locus_tag=Csac_1473
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1636589	1637248	+	WP_011917009.1	WP_011917009.1		hypothetical protein			CSAC_RS07475	660	219	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1637811	1640891	+							CSAC_RS07480	3081		old_locus_tag=Csac_1474
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1637811	1640891	+	WP_011917010.1	WP_011917010.1		MMPL family transporter			CSAC_RS07480	3081	1026	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1641242	1641526	+							CSAC_RS07485	285		old_locus_tag=Csac_1475
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1641242	1641526	+	WP_011917011.1	WP_011917011.1		hypothetical protein			CSAC_RS07485	285	94	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1641871	1642017	+							CSAC_RS14780	147		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1641871	1642017	+	WP_187147293.1	WP_187147293.1		hypothetical protein			CSAC_RS14780	147	48	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1642406	1643221	+							CSAC_RS07495	816		old_locus_tag=Csac_1477
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1642406	1643221	+	WP_011917013.1	WP_011917013.1		ABC transporter ATP-binding protein			CSAC_RS07495	816	271	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1643223	1643879	+							CSAC_RS07500	657		old_locus_tag=Csac_1478
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1643223	1643879	+	WP_011917014.1	WP_011917014.1		ABC transporter permease			CSAC_RS07500	657	218	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1644269	1644469	+							CSAC_RS07505	201		partial;pseudo;old_locus_tag=Csac_1479
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1644269	1644469	+				ATP-binding protein			CSAC_RS07505	201		partial;pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1644597	1645781	+							CSAC_RS07510	1185		old_locus_tag=Csac_1480
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1644597	1645781	+	WP_011917015.1	WP_011917015.1		MFS transporter			CSAC_RS07510	1185	394	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1647244	1648191	-							CSAC_RS07520	948		old_locus_tag=Csac_1482
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1647244	1648191	-	WP_011915667.1	WP_011915667.1		ISNCY-like element ISCsa7 family transposase			CSAC_RS07520	948	315	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1648327	1649433	+							CSAC_RS07525	1107		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1648327	1649433	+	WP_228370058.1	WP_228370058.1		ABC transporter ATP-binding protein/permease			CSAC_RS07525	1107	368	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1649554	1649835	+							CSAC_RS07530	282		partial;pseudo;old_locus_tag=Csac_1484
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1649554	1649835	+				IS110 family transposase			CSAC_RS07530	282		partial;pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1649844	1651073	-							CSAC_RS07535	1230		old_locus_tag=Csac_1485
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1649844	1651073	-	WP_011915673.1	WP_011915673.1		IS256-like element ISCsa2 family transposase			CSAC_RS07535	1230	409	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1651144	1652157	+							CSAC_RS07540	1014		partial;pseudo;old_locus_tag=Csac_1486
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1651144	1652157	+				IS110-like element ISCsa4 family transposase			CSAC_RS07540	1014		partial;pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1652952	1654556	+							CSAC_RS07550	1605		old_locus_tag=Csac_1489
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1652952	1654556	+	WP_011917018.1	WP_011917018.1		ABC transporter ATP-binding protein/permease			CSAC_RS07550	1605	534	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1654641	1654993	+							CSAC_RS07555	353		partial;pseudo;old_locus_tag=Csac_1490
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1654641	1654993	+				MMPL family transporter			CSAC_RS07555	353		partial;pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1655406	1656275	+							CSAC_RS07560	870		old_locus_tag=Csac_1491
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1655406	1656275	+	WP_011917020.1	WP_011917020.1		polymorphic toxin type 44 domain-containing protein			CSAC_RS07560	870	289	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1656259	1656684	+							CSAC_RS07565	426		old_locus_tag=Csac_1492
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1656259	1656684	+	WP_011917021.1	WP_011917021.1		DUF5412 family protein			CSAC_RS07565	426	141	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1657010	1657270	+							CSAC_RS07570	261		old_locus_tag=Csac_1493
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1657010	1657270	+	WP_039765649.1	WP_039765649.1		MMPL family transporter			CSAC_RS07570	261	86	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1657786	1658253	+							CSAC_RS07575	468		old_locus_tag=Csac_1494
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1657786	1658253	+	WP_011917022.1	WP_011917022.1		DUF5412 domain-containing protein			CSAC_RS07575	468	155	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1658659	1659045	+							CSAC_RS15140	387		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1658659	1659045	+	WP_041722548.1	WP_041722548.1		hypothetical protein			CSAC_RS15140	387	128	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1659260	1660459	+							CSAC_RS07585	1200		old_locus_tag=Csac_1496
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1659260	1660459	+	WP_011917023.1	WP_011917023.1		hypothetical protein			CSAC_RS07585	1200	399	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1660609	1660752	+							CSAC_RS15145	144		old_locus_tag=Csac_3023
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1660609	1660752	+	WP_011917024.1	WP_011917024.1		hypothetical protein			CSAC_RS15145	144	47	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1661177	1661968	+							CSAC_RS14200	792		old_locus_tag=Csac_1497
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1661177	1661968	+	WP_011917025.1	WP_011917025.1		rare lipoprotein A			CSAC_RS14200	792	263	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1661950	1663032	+							CSAC_RS07595	1083		old_locus_tag=Csac_1498
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1661950	1663032	+	WP_011917026.1	WP_011917026.1		hypothetical protein			CSAC_RS07595	1083	360	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1663159	1663764	-							CSAC_RS07600	606		old_locus_tag=Csac_1499
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1663159	1663764	-	WP_011917027.1	WP_011917027.1		FMN-dependent NADH-azoreductase			CSAC_RS07600	606	201	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1663849	1664943	-							CSAC_RS07605	1095		old_locus_tag=Csac_1500
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1663849	1664943	-	WP_011917028.1	WP_011917028.1		iron-containing alcohol dehydrogenase family protein			CSAC_RS07605	1095	364	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1665098	1665268	+							CSAC_RS14790	171		old_locus_tag=Csac_1501
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1665098	1665268	+	WP_011917029.1	WP_011917029.1		hypothetical protein			CSAC_RS14790	171	56	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1665431	1666870	+							CSAC_RS07610	1440		old_locus_tag=Csac_1502
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1665431	1666870	+	WP_011917030.1	WP_011917030.1		NAD(P)/FAD-dependent oxidoreductase			CSAC_RS07610	1440	479	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1666872	1668158	+							CSAC_RS07615	1287		old_locus_tag=Csac_1503
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1666872	1668158	+	WP_011917031.1	WP_011917031.1		FAD-dependent oxidoreductase			CSAC_RS07615	1287	428	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1668158	1668523	+							CSAC_RS07620	366		old_locus_tag=Csac_1504
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1668158	1668523	+	WP_011917032.1	WP_011917032.1		DUF1667 domain-containing protein			CSAC_RS07620	366	121	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1668520	1669083	-							CSAC_RS07625	564		old_locus_tag=Csac_1505
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1668520	1669083	-	WP_011917033.1	WP_011917033.1		glycerol-3-phosphate responsive antiterminator			CSAC_RS07625	564	187	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1669162	1671486	+					lon		CSAC_RS07630	2325		old_locus_tag=Csac_1506
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1669162	1671486	+	WP_011917034.1	WP_011917034.1		endopeptidase La	lon		CSAC_RS07630	2325	774	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1671506	1672120	+					yihA		CSAC_RS07635	615		old_locus_tag=Csac_1507
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1671506	1672120	+	WP_011917035.1	WP_011917035.1		ribosome biogenesis GTP-binding protein YihA/YsxC	yihA		CSAC_RS07635	615	204	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1672117	1672533	+							CSAC_RS07640	417		old_locus_tag=Csac_1508
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1672117	1672533	+	WP_011917036.1	WP_011917036.1		DUF523 domain-containing protein			CSAC_RS07640	417	138	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1672559	1673434	+							CSAC_RS07645	876		old_locus_tag=Csac_1509
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1672559	1673434	+	WP_011917037.1	WP_011917037.1		PocR ligand-binding domain-containing protein			CSAC_RS07645	876	291	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1673526	1674512	+					galT		CSAC_RS07650	987		old_locus_tag=Csac_1510
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1673526	1674512	+	WP_011917038.1	WP_011917038.1		galactose-1-phosphate uridylyltransferase	galT		CSAC_RS07650	987	328	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1674517	1675686	+							CSAC_RS07655	1170		old_locus_tag=Csac_1511
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1674517	1675686	+	WP_011917039.1	WP_011917039.1		galactokinase			CSAC_RS07655	1170	389	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1675714	1676700	+					galE		CSAC_RS07660	987		old_locus_tag=Csac_1512
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1675714	1676700	+	WP_011917040.1	WP_011917040.1		UDP-glucose 4-epimerase GalE	galE		CSAC_RS07660	987	328	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1676936	1678606	+					rho		CSAC_RS07665	1671		old_locus_tag=Csac_1513
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1676936	1678606	+	WP_011917041.1	WP_011917041.1		transcription termination factor Rho	rho		CSAC_RS07665	1671	556	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1678800	1679372	+							CSAC_RS07670	573		old_locus_tag=Csac_1514
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1678800	1679372	+	WP_011917042.1	WP_011917042.1		N-acetylmuramoyl-L-alanine amidase			CSAC_RS07670	573	190	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1679462	1680322	+							CSAC_RS07675	861		old_locus_tag=Csac_1515
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1679462	1680322	+	WP_011917043.1	WP_011917043.1		8-oxoguanine DNA glycosylase			CSAC_RS07675	861	286	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1680356	1681060	+							CSAC_RS07680	705		old_locus_tag=Csac_1516
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1680356	1681060	+	WP_011917044.1	WP_011917044.1		PrsW family intramembrane metalloprotease			CSAC_RS07680	705	234	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1681085	1682356	+							CSAC_RS07685	1272		old_locus_tag=Csac_1517
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1681085	1682356	+	WP_011917045.1	WP_011917045.1		MFS transporter			CSAC_RS07685	1272	423	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1682421	1682621	+							CSAC_RS07690	201		old_locus_tag=Csac_1518
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1682421	1682621	+	WP_011917046.1	WP_011917046.1		type II toxin-antitoxin system VapB family antitoxin			CSAC_RS07690	201	66	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1682618	1683016	+							CSAC_RS07695	399		old_locus_tag=Csac_1519
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1682618	1683016	+	WP_011917047.1	WP_011917047.1		PIN domain nuclease			CSAC_RS07695	399	132	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1683175	1683384	+					rpmE		CSAC_RS07700	210		old_locus_tag=Csac_1520
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1683175	1683384	+	WP_011917048.1	WP_011917048.1		50S ribosomal protein L31	rpmE		CSAC_RS07700	210	69	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1683468	1684409	+							CSAC_RS07705	942		old_locus_tag=Csac_1521
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1683468	1684409	+	WP_011917049.1	WP_011917049.1		DUF1385 domain-containing protein			CSAC_RS07705	942	313	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1684399	1685268	+					prmC		CSAC_RS07710	870		old_locus_tag=Csac_1522
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1684399	1685268	+	WP_011917050.1	WP_011917050.1		peptide chain release factor N(5)-glutamine methyltransferase	prmC		CSAC_RS07710	870	289	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1685293	1686360	+					prfA		CSAC_RS07715	1068		old_locus_tag=Csac_1523
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1685293	1686360	+	WP_011917051.1	WP_011917051.1		peptide chain release factor 1	prfA		CSAC_RS07715	1068	355	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1686422	1687219	+							CSAC_RS07720	798		old_locus_tag=Csac_1524
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1686422	1687219	+	WP_011917052.1	WP_011917052.1		flagellar motor protein			CSAC_RS07720	798	265	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1687225	1687998	+							CSAC_RS07725	774		old_locus_tag=Csac_1525
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1687225	1687998	+	WP_011917053.1	WP_011917053.1		OmpA family protein			CSAC_RS07725	774	257	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1688077	1688808	+							CSAC_RS07730	732		old_locus_tag=Csac_1526
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1688077	1688808	+	WP_228369855.1	WP_228369855.1		ZIP family metal transporter			CSAC_RS07730	732	243	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1688811	1689851	+							CSAC_RS07735	1041		old_locus_tag=Csac_1527
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1688811	1689851	+	WP_049754844.1	WP_049754844.1		threonylcarbamoyl-AMP synthase			CSAC_RS07735	1041	346	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1689851	1690318	+							CSAC_RS07740	468		old_locus_tag=Csac_1528
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1689851	1690318	+	WP_011917056.1	WP_011917056.1		low molecular weight protein arginine phosphatase			CSAC_RS07740	468	155	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1690315	1690779	+					rlmH		CSAC_RS07745	465		old_locus_tag=Csac_1529
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1690315	1690779	+	WP_011917057.1	WP_011917057.1		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH		CSAC_RS07745	465	154	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1690839	1691720	-					argB		CSAC_RS07750	882		old_locus_tag=Csac_1530
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1690839	1691720	-	WP_011917058.1	WP_011917058.1		acetylglutamate kinase	argB		CSAC_RS07750	882	293	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1691751	1692782	-					argC		CSAC_RS07755	1032		old_locus_tag=Csac_1531
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1691751	1692782	-	WP_011917059.1	WP_011917059.1		N-acetyl-gamma-glutamyl-phosphate reductase	argC		CSAC_RS07755	1032	343	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1692943	1695066	+							CSAC_RS07760	2124		old_locus_tag=Csac_1532
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1692943	1695066	+	WP_011917060.1	WP_011917060.1		N-acetylmuramoyl-L-alanine amidase			CSAC_RS07760	2124	707	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1695127	1695978	-							CSAC_RS07765	852		old_locus_tag=Csac_1533
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1695127	1695978	-	WP_011917061.1	WP_011917061.1		Cof-type HAD-IIB family hydrolase			CSAC_RS07765	852	283	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1696153	1698063	+							CSAC_RS07770	1911		old_locus_tag=Csac_1534
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1696153	1698063	+	WP_011917062.1	WP_011917062.1		NADH dehydrogenase			CSAC_RS07770	1911	636	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1698060	1698920	+							CSAC_RS07775	861		old_locus_tag=Csac_1535
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1698060	1698920	+	WP_011917063.1	WP_011917063.1		NADH-quinone oxidoreductase subunit H			CSAC_RS07775	861	286	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1698943	1699407	+							CSAC_RS07780	465		old_locus_tag=Csac_1536
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1698943	1699407	+	WP_011917064.1	WP_011917064.1		NADH-quinone oxidoreductase subunit B family protein			CSAC_RS07780	465	154	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1699391	1699762	+							CSAC_RS07785	372		old_locus_tag=Csac_1537
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1699391	1699762	+	WP_011917065.1	WP_011917065.1		NADH-quinone oxidoreductase subunit C			CSAC_RS07785	372	123	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1699770	1700849	+							CSAC_RS07790	1080		old_locus_tag=Csac_1538
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1699770	1700849	+	WP_011917066.1	WP_011917066.1		nickel-dependent hydrogenase large subunit			CSAC_RS07790	1080	359	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1700865	1701260	+							CSAC_RS07795	396		old_locus_tag=Csac_1539
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1700865	1701260	+	WP_228369856.1	WP_228369856.1		4Fe-4S binding protein			CSAC_RS07795	396	131	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1701281	1701634	+					hypA		CSAC_RS07800	354		old_locus_tag=Csac_1540
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1701281	1701634	+	WP_011917068.1	WP_011917068.1		hydrogenase maturation nickel metallochaperone HypA	hypA		CSAC_RS07800	354	117	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1701618	1702289	+					hypB		CSAC_RS07805	672		old_locus_tag=Csac_1541
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1701618	1702289	+	WP_011917069.1	WP_011917069.1		hydrogenase nickel incorporation protein HypB	hypB		CSAC_RS07805	672	223	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1702303	1704570	+					hypF		CSAC_RS07810	2268		old_locus_tag=Csac_1542
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1702303	1704570	+	WP_041722553.1	WP_041722553.1		carbamoyltransferase HypF	hypF		CSAC_RS07810	2268	755	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	1704586	1704810	+							CSAC_RS07815	225		old_locus_tag=Csac_1543
